Tipo Vehiculo,Marca,Modelo,Pais,Especificacion,Año,Valor
FURGONETA,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: CARGO || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 2 || TRACCION: 4X2 || PUERTAS: 3 || PESODECARGA: 3.9 || EJES: 2 || ,2021,"$18,392.00"
MINIVAN,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: XL  || COMBUSTIBLE: GASOLINA  || CILINDROS: 6  || CC: 3500  || PASAJEROS: 8  || PUERTAS: 3  || TRACCION: AWD  || ,2021,"$17,974.40"
MINIVAN,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: XL  || COMBUSTIBLE: GASOLINA  || CILINDROS: 6  || CC: 3500  || PASAJEROS: 8  || PUERTAS: 3  || TRACCION: RWD  || ,2021,"$16,188.00"
MINIBUS,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: XLT  || COMBUSTIBLE:  GASOLINA || CILINDROS: 6  || CC: 3500  || PASAJEROS: 10  || PUERTAS: 3  || TRACCION: 4WD,2021,"$18,926.00"
MINIBUS,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: XLT  || COMBUSTIBLE:  GASOLINA || CILINDROS: 6  || CC: 3500  || PASAJEROS: 10  || PUERTAS: 3  || TRACCION: RWD,2021,"$17,142.00"
MINIVAN,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: XLT  || COMBUSTIBLE: GASOLINA  || CILINDROS: 6  || CC: 3500  || PASAJEROS: 8  || PUERTAS: 3  || TRACCION: AWD  || ,2021,"$18,926.00"
MINIVAN,FORD,TRANSIT 150,ESTADOS UNIDOS,SERIE: XLT  || COMBUSTIBLE: GASOLINA  || CILINDROS: 6  || CC: 3500  || PASAJEROS: 8  || PUERTAS: 3  || TRACCION: RWD  || ,2021,"$17,142.00"
FURGONETA,FORD,TRANSIT 250,ESTADOS UNIDOS,SERIE: CARGO || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 2 || TRACCION: 4X2 || PUERTAS: 3 || PESODECARGA: 4.5 || EJES: 2 ||,2021,"$18,772.00"
FURGONETA,FORD,TRANSIT 250,ESTADOS UNIDOS,SERIE: CARGO   || COMBUSTIBLE: GASOLINA || CILINDROS: 6  || CC: 3500  || PASAJEROS: 2  || TRACCION: 4X4 || PUERTAS: 3  || PESODECARGA: 4.5  || EJES: 2 || ,2021,"$20,254.00"
FURGONETA,FORD,TRANSIT 350,ESTADOS UNIDOS,SERIE: CARGO || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 2 || TRACCION: 4X2 || PUERTAS: 3 || PESODECARGA: 4.5 || EJES: 2 ||,2021,"$19,228.00"
FURGONETA,FORD,TRANSIT 350,ESTADOS UNIDOS,SERIE: CARGO   || COMBUSTIBLE: GASOLINA || CILINDROS: 6  || CC: 3500  || PASAJEROS: 2  || TRACCION: 4X4 || PUERTAS: 3  || PESODECARGA: 4.5  || EJES: 2 || ,2021,"$20,710.00"
MINIBUS,FORD,TRANSIT 350,ESTADOS UNIDOS,SERIE: XL  || COMBUSTIBLE:  GASOLINA || CILINDROS: 6  || CC: 3500  || PASAJEROS: 12  || PUERTAS: 3  || TRACCION: 4WD,2021,"$23,704.40"
MINIBUS,FORD,TRANSIT 350,ESTADOS UNIDOS,SERIE: XL  || COMBUSTIBLE:  GASOLINA || CILINDROS: 6  || CC: 3500  || PASAJEROS: 12  || PUERTAS: 3  || TRACCION: RWD,2021,"$22,108.40"
MINIBUS,FORD,TRANSIT 350,ESTADOS UNIDOS,SERIE: XLT  || TRACCION: AWD  || COMBUSTIBLE: GASOLINA  || CILINDROS: 6  || CC: 3500  || PASAJEROS: 12  || PUERTAS: 3  || TRACCION: ,2021,"$24,838.40"
MINIBUS,FORD,TRANSIT 350,ESTADOS UNIDOS,SERIE: XLT || COMBUSTIBLE:  GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 15 || PUERTAS: 3 || TRACCION: RWD,2021,"$23,242.40"
MINIVAN,FORD,Transit Connect,ESTADOS UNIDOS,SERIE: TITANIUM||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2000||PASAJEROS: 7||PUERTAS: 4||TRACCION: FWD||,2021,"$14,230.80"
MINIVAN,FORD,Transit Connect,TURQUÍA,SERIE: TITANIUM||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2000||PASAJEROS: 7||PUERTAS: 4||TRACCION: FWD||,2021,"$14,230.80"
FURGONETA,FORD,Transit Connect,TURQUÍA,SERIE: XL || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 2 || TRACCION: 4X2 || PUERTAS: 4 || PESODECARGA: 2.4 || EJES: 2 || ,2021,"$12,015.60"
FURGONETA,FORD,Transit Connect,TURQUÍA,SERIE: XL || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 4 || TRACCION: 4X2 || PUERTAS: 2 || PESODECARGA: 2.4 || ,2021,"$12,015.60"
